GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,NestedRecordMergedSizeException,16,0,0,0,6,0,3,0,3,0
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,MergedRecord,26,15,0,0,4,6,4,2,4,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordMethodFacatory,3,264,3,31,3,52,3,19,0,5
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordsProcessorUtil,51,463,13,51,13,129,14,32,1,13
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordMethodCache,0,49,0,0,0,13,0,7,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,FieldProcessorRegistry,0,89,0,0,0,21,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,RecordHeader,26,15,0,0,7,6,1,3,1,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,ProcessCase,5,33,0,0,0,3,1,3,1,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,CellNotFoundException,6,18,0,0,2,7,2,1,2,1
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,ListenerClassCache,16,44,0,0,8,13,4,6,4,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldprocessor,AbstractFieldProcessor,36,56,3,5,9,14,4,4,1,3
XlsMapper,com.gh.mygreen.xlsmapper,XlsSaver,9,712,4,66,3,138,6,39,2,8
XlsMapper,com.gh.mygreen.xlsmapper,LoadingWorkObject,0,61,0,0,0,20,0,9,0,9
XlsMapper,com.gh.mygreen.xlsmapper,CellFormatter,1,0,0,0,1,0,1,0,1,0
XlsMapper,com.gh.mygreen.xlsmapper,SavingWorkObject,30,31,0,0,9,11,2,7,2,7
XlsMapper,com.gh.mygreen.xlsmapper,SheetBindingErrorsFactory,0,8,0,0,0,2,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper,XlsLoader,77,804,8,74,15,147,10,46,4,11
XlsMapper,com.gh.mygreen.xlsmapper,NeedProcess,0,21,0,0,0,8,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper,SpringBeanFactory,33,119,14,14,6,29,12,8,1,5
XlsMapper,com.gh.mygreen.xlsmapper,Configuration,34,195,0,0,14,62,7,29,7,29
XlsMapper,com.gh.mygreen.xlsmapper,AnnotationInvalidException,3,19,0,0,1,8,1,3,1,3
XlsMapper,com.gh.mygreen.xlsmapper,SheetNotFoundException,9,39,0,0,3,14,3,3,3,3
XlsMapper,com.gh.mygreen.xlsmapper,XlsMapperException,7,9,0,0,4,4,2,2,2,2
XlsMapper,com.gh.mygreen.xlsmapper,DefaultCellFormatter,9,139,1,7,4,32,3,14,2,11
XlsMapper,com.gh.mygreen.xlsmapper,SheetFinder,28,397,8,48,5,77,7,25,0,4
XlsMapper,com.gh.mygreen.xlsmapper,DefaultBeanFactory,15,49,0,4,2,10,0,4,0,2
XlsMapper,com.gh.mygreen.xlsmapper,XlsMapper,20,87,0,0,3,21,3,12,3,12
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,40,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,32,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,50,1,1,2,11,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,50,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,49,1,1,2,11,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,40,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory,0,207,1,15,0,48,1,14,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory,2,338,4,24,1,67,4,17,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory.new ArrayLabelSetter() {...},7,38,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory.new ArrayLabelSetter() {...},7,49,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayLabelSetterFactory.new ArrayLabelSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessor,108,346,11,15,18,81,14,34,5,30
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory,2,355,7,27,1,68,7,17,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory.new MapLabelSetter() {...},7,49,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory.new MapLabelSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory.new MapLabelSetter() {...},7,32,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessorFactory,83,797,12,66,23,143,12,43,0,16
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapLabelSetterFactory,2,214,3,15,1,48,3,13,0,7
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,29,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,23,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,28,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,44,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,44,0,2,2,10,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,43,0,2,2,10,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,23,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,22,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,36,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,MapPositionSetterFactory.new MapPositionSetter() {...},7,40,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessException,18,0,0,0,7,0,3,0,3,0
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessorProxyComparator,14,60,5,7,4,14,5,5,0,4
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory,0,257,3,29,0,58,3,19,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory.new PositionSetter() {...},7,23,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,FieldAccessorProxy,9,80,3,5,4,21,4,7,1,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,26,0,0,2,4,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,21,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionSetterFactory,0,296,3,23,0,63,3,16,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,26,0,0,2,4,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,28,0,0,2,4,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,28,0,0,2,4,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,36,0,2,2,7,0,4,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,23,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,31,0,2,2,6,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,PositionGetterFactory.new PositionGetter() {...},7,36,0,2,2,7,0,4,0,3
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelSetterFactory,0,173,1,13,0,43,1,12,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelSetterFactory.new LabelSetter() {...},7,43,0,2,2,10,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelSetterFactory.new LabelSetter() {...},7,28,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelSetterFactory.new LabelSetter() {...},7,22,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,41,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,34,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,39,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,38,1,1,2,10,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelGetterFactory,0,177,1,15,0,46,1,13,0,6
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,49,0,2,2,11,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,50,1,1,2,11,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,50,1,1,2,11,1,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,34,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,ArrayPositionSetterFactory.new ArrayPositionSetter() {...},7,33,0,0,2,6,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelGetterFactory.new LabelGetter() {...},7,21,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelGetterFactory.new LabelGetter() {...},7,23,0,0,2,4,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.fieldaccessor,LabelGetterFactory.new LabelGetter() {...},7,31,0,2,2,6,0,3,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CellLinkCellConverterFactory,0,24,0,0,0,6,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CalendarCellConverterFactory.new TextFormatter() {...},6,22,0,0,1,5,1,2,1,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,LocalDateTimeCellConverterFactory,0,26,0,0,0,7,0,5,0,5
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,BigDecimalCellConverterFactory,0,21,0,0,0,5,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,EnumCellConverterFactory,0,60,0,2,0,10,0,7,0,6
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CharacterCellConverterFactory.new TextFormatter() {...},11,32,3,5,2,7,3,4,1,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,LocalDateTimeCellConverterFactory.LocalDateTimeCellConverter,0,23,0,0,0,7,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,DateCellConverterFactory,0,25,0,0,0,7,0,5,0,5
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,BigIntegerCellConverterFactory.BigIntegerCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,ShortCellConverterFactory,0,28,0,0,0,6,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,SqlTimeCellConverterFactory.SqlTimeCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,LongCellConverterFactory.LongCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CellLinkCellConverterFactory.new TextFormatter() {...},15,12,0,0,1,2,1,2,1,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractNumberCellConverter,0,115,0,12,0,28,0,12,0,6
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,ByteCellConverterFactory.ByteCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CharacterCellConverterFactory,0,25,0,0,0,6,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,DoubleCellConverterFactory,0,23,0,0,0,5,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,StringCellConverterFactory,0,25,0,0,0,6,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractDateCellConverter,0,88,0,8,0,24,0,9,0,5
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CalendarCellConverterFactory,0,43,0,0,0,9,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,CalendarCellConverterFactory.CalendarCellConverter,0,41,0,2,0,13,0,5,0,4
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,ArrayCellConverterFactory.ArrayCellConverter,0,36,0,2,0,10,0,4,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,SqlDateCellConverterFactory.SqlDateCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,StringCellConverterFactory.StringCellConverter,0,32,0,4,0,8,0,5,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractTemporalCellConverter,0,93,0,8,0,25,0,9,0,5
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,EnumCellConverterFactory.EnumCellConverter,0,44,0,4,0,13,0,5,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,IntegerCellConverterFactory.IntegerCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,URICellConverterFactory,0,24,0,0,0,6,0,4,0,4
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractTemporalCellConverterFactory.new TextFormatter() {...},5,55,0,0,1,7,1,2,1,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractDateCellConverterFactory,5,153,2,12,0,38,2,14,0,9
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractNumberCellConverterFactory,6,205,3,21,1,49,4,18,1,9
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,LocalDateCellConverterFactory.LocalDateCellConverter,0,27,0,0,0,8,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,SetCellConverterFactory.SetCellConverter,0,41,0,4,0,12,0,5,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,LongCellConverterFactory,0,28,0,0,0,6,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,ListCellConverterFactory,0,77,0,2,0,18,0,7,0,6
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,URICellConverterFactory.new TextFormatter() {...},3,18,0,0,1,4,1,2,1,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,DoubleCellConverterFactory.DoubleCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,AbstractDateCellConverterFactory.new TextFormatter() {...},0,60,0,0,0,8,0,3,0,3
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,SqlTimestampCellConverterFactory.SqlTimestampCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,BooleanCellConverterFactory,0,50,0,0,0,9,0,6,0,6
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,FloatCellConverterFactory.FloatCellConverter,0,16,0,0,0,5,0,2,0,2
XlsMapper,com.gh.mygreen.xlsmapper.cellconverter.impl,URICellConverterFactory.URICellConverter,7,90,0,8,2,26,0,8,0,4
